q,d,d,d,q,d,q,d,d,d,d,d,d,q,q,q,q,q,d,d,d,q,q,q,q,q,q,q,q,q,q,q,q,q,q,q,q,d,d,d,q,q,q,q,d
19790,TableScan_Select,57114,4000000,512000000,1,2,true,inial,false,false,false,false,80000000,true,true,600,false,false,true,true,6,8,130,60,10,.5,.65,.3,.8,.1,500,.60,30,60,2,2,1792,1024,1920,4,true,false,RECORD,898
1590.509,5
42884,TableScan_Join,7650000,8000000,448000000,20,3,false,none,true,false,true,true,70000000,false,false,900,false,false,true,true,2,4,140,60,15,.7,.65,.5,.8,.8,1300,.45,30,50,4,3,1152,1920,1920,3,false,false,BLOCK,357
49764,TableScan_Join,33686779,8000000,448000000,20,3,false,none,true,false,true,true,70000000,false,false,900,false,false,true,true,2,4,140,60,15,.7,.65,.5,.8,.8,1300,.45,30,50,4,3,1152,1920,1920,3,false,false,BLOCK,357
26540,TableScan_Group,301828,8000000,448000000,20,3,false,none,true,false,true,true,70000000,false,false,900,false,false,true,true,2,4,140,60,15,.7,.65,.5,.8,.8,1300,.45,30,50,4,3,1152,1920,1920,3,false,false,BLOCK,357
26544,TableScan_Group,282468,8000000,448000000,20,3,false,none,true,false,true,true,70000000,false,false,900,false,false,true,true,2,4,140,60,15,.7,.65,.5,.8,.8,1300,.45,30,50,4,3,1152,1920,1920,3,false,false,BLOCK,357
16880,TableScan_Select,114051,8000000,448000000,1,3,false,none,true,false,true,true,70000000,false,false,900,false,false,true,true,2,4,140,60,15,.7,.65,.5,.8,.8,1300,.45,30,50,4,3,1152,1920,1920,3,false,false,BLOCK,357
169.367,4
33420,TableScan_Join,3830000,4000000,384000000,31,2,true,inial,true,false,false,false,40000000,true,false,1000,true,false,false,true,2,8,130,80,10,.6,.60,.2,.9,.8,500,.35,70,50,1,1,1024,1024,1408,3,false,true,BLOCK,1024
47610,TableScan_Join,16846358,4000000,384000000,31,2,true,inial,true,false,false,false,40000000,true,false,1000,true,false,false,true,2,8,130,80,10,.6,.60,.2,.9,.8,500,.35,70,50,1,1,1024,1024,1408,3,false,true,BLOCK,1024
31678,TableScan_Group,57114,4000000,384000000,31,2,true,inial,true,false,false,false,40000000,true,false,1000,true,false,false,true,2,8,130,80,10,.6,.60,.2,.9,.8,500,.35,70,50,1,1,1024,1024,1408,3,false,true,BLOCK,1024
19815,TableScan_Select,57114,4000000,384000000,1,2,true,inial,true,false,false,false,40000000,true,false,1000,true,false,false,true,2,8,130,80,10,.6,.60,.2,.9,.8,500,.35,70,50,1,1,1024,1024,1408,3,false,true,BLOCK,1024
142.918,4
12812,TableScan_None,3670000,4000000,128000000,0,2,true,ore,false,false,true,true,70000000,false,false,700,false,false,true,false,2,6,100,10,20,.6,.50,.2,.7,.7,1500,.35,10,60,4,2,1152,1536,1920,3,false,true,RECORD,594
37943,TableScan_Join,16846358,4000000,128000000,3,2,true,ore,false,false,true,true,70000000,false,false,700,false,false,true,false,2,6,100,10,20,.6,.50,.2,.7,.7,1500,.35,10,60,4,2,1152,1536,1920,3,false,true,RECORD,594
13763,TableScan_Group,57114,4000000,128000000,3,2,true,ore,false,false,true,true,70000000,false,false,700,false,false,true,false,2,6,100,10,20,.6,.50,.2,.7,.7,1500,.35,10,60,4,2,1152,1536,1920,3,false,true,RECORD,594
13340,TableScan_Group,57114,4000000,128000000,3,2,true,ore,false,false,true,true,70000000,false,false,700,false,false,true,false,2,6,100,10,20,.6,.50,.2,.7,.7,1500,.35,10,60,4,2,1152,1536,1920,3,false,true,RECORD,594
303.487,4
